Program identifier,Target name,Right Ascension,Declination,Instrument,Dispersive Element,Phase Start,Phase End,Observing Mode,Scan Rate,Visit identifier,Date/Time Start,Date/Time End,Orbits,Status,PI name,Proprietary Period (Months),Direct image,White light curve,XY drift map
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,04,Dec 17 2013 18:50:46,Dec 17 2013 19:49:23,1,Archived,Stevenson,12,N/A,N/A,N/A
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,0.86500,0.87500,Reverse,1.200,11,Feb 14 2014 07:07:54,Feb 14 2014 08:06:31,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,12,Feb 14 2014 08:43:31,Feb 14 2014 09:42:08,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,13,Feb 14 2014 10:19:07,Feb 14 2014 11:17:44,1,Archived,Stevenson,12,Yes,Yes,Yes
13338,GJ-436/LHS-310,11:42:11.0937,+26:42:23.65,WFC3/IR,G141,N/A,N/A,Reverse,1.200,14,Feb 14 2014 11:54:44,Feb 14 2014 12:53:21,1,Archived,Stevenson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.76956,0.78667,Forward,0.026,01,Jun 12 2014 03:10:50,Jun 12 2014 10:30:30,5,Archived,Huitson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.07090,0.08803,Forward,0.026,02,Jun 13 2014 22:32:55,Jun 14 2014 05:42:02,5,Archived,Huitson,12,Yes,Yes,Yes
13431,WASP-19,09:53:41.1806,-45:39:05.50,WFC3/IR,G141,0.20276,0.21987,Forward,0.026,03,Jun 10 2014 21:02:09,Jun 11 2014 04:18:45,5,Archived,Huitson,12,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.040,13,Jan 01 2014 09:14:21,Jan 01 2014 16:34:46,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.040,11,Feb 05 2014 07:40:42,Feb 05 2014 14:58:29,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.040,12,Feb 15 2014 03:41:30,Feb 15 2014 10:57:22,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G102,0.82500,0.84500,Forward,0.050,15,Dec 19 2013 07:15:13,Dec 19 2013 14:34:26,5,Failed,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.050,16,Jan 16 2014 15:51:15,Jan 16 2014 23:09:12,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.050,17,Mar 04 2014 14:45:39,Mar 04 2014 22:02:15,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-12,06:30:32.7940,+29:40:20.29,WFC3/IR,G141,0.82500,0.84500,Forward,0.050,18,Mar 02 2014 10:10:25,Mar 02 2014 17:27:51,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-18,01:37:25.0341,-45:40:40.39,WFC3/IR,G141,0.29800,0.32000,Forward,0.300,20,Apr 22 2014 19:01:18,Apr 23 2014 02:17:09,5,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-18,01:37:25.0341,-45:40:40.39,WFC3/IR,G141,0.29800,0.32000,Forward,0.300,21,May 08 2014 18:45:06,May 09 2014 02:10:42,5,Archived,Bean,0,Yes,Yes,Yes
